Destination,Spreadsheet row number,Final rating,Number of reviews analyzed,Sources,Date range,Confidence level,Sentiment and platform scores,Reason for any missing result
Ankara,41,7.5,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.42, S_plat=0.72",
Luang Prabang,42,9.1,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.85, S_plat=0.93",
Samarkand,43,8.9,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.81, S_plat=0.90",
Makassar,44,7.3,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.36, S_plat=0.70",
Manila,45,7.5,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.40, S_plat=0.73",
Fukuoka,46,8.7,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.76, S_plat=0.88",
Xian,47,8.8,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.77, S_plat=0.89",
Delhi,48,7.9,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.51, S_plat=0.78",
Wuhan,49,7.8,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.50, S_plat=0.77",
Pattaya,50,7.3,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.37, S_plat=0.71",
Hat Yai,51,7.5,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.42, S_plat=0.73",
Vung Tau,52,7.6,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.45, S_plat=0.74",
Vientiane,53,7.5,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.43, S_plat=0.73",
Managua,54,6.6,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.20, S_plat=0.63",
Melbourne,55,9.1,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.85, S_plat=0.93",
Thessaloniki,56,8.5,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.70, S_plat=0.85",
Auckland,57,8.3,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.64, S_plat=0.82",
Cancun,58,8.4,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.67, S_plat=0.85",
Larnaka,59,7.9,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.53, S_plat=0.77",
Marseille,60,8.1,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.58, S_plat=0.81",
Nice,61,8.9,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.80, S_plat=0.90",
Edinburgh,62,9.3,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.88, S_plat=0.95",
Ubud,63,8.6,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.72, S_plat=0.86",
Doha,64,8.2,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.62, S_plat=0.82",
Medan,65,7.2,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.32, S_plat=0.69",
Port Moresby,66,6.3,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.12, S_plat=0.61",
Cali,67,7.8,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.48, S_plat=0.76",
Dhaka,68,6.8,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.24, S_plat=0.65",
Sri Lanka,69,9.1,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.85, S_plat=0.93",
Cartagena,70,8.7,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.74, S_plat=0.88",
Valencia,71,8.9,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.81, S_plat=0.90",
Mumbai,72,8.0,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.55, S_plat=0.80",
Delhi,73,7.9,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.51, S_plat=0.78",
Graz,74,8.5,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.70, S_plat=0.85",
Arequipa,75,8.8,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.78, S_plat=0.89",
Quito,76,8.0,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.54, S_plat=0.79",
Sucre,77,8.4,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.68, S_plat=0.83",
Valparaiso,78,8.0,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.56, S_plat=0.79",
Asunción,79,7.1,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.30, S_plat=0.68",
Salvador,80,8.3,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.64, S_plat=0.82",
Guayaquil,81,7.2,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.33, S_plat=0.69",
Santa Cruz,82,7.4,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.38, S_plat=0.71",
Hangzhou,83,8.9,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.80, S_plat=0.90",
Tianjin,84,7.9,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.52, S_plat=0.76",
Ürümqi,85,7.6,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.45, S_plat=0.74",
Ulaanbaatar,86,7.3,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.36, S_plat=0.71",
Sarajevo,87,9.0,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.83, S_plat=0.91",
Bucharest,88,8.0,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.55, S_plat=0.80",
Chennai,89,7.5,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.44, S_plat=0.599",
Shenyang,90,8.2,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.623, S_plat=0.647",
Harbin,91,8.3,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.6, S_plat=0.748",
Luoyang,92,8.5,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.663, S_plat=0.748",
Datong,93,8.5,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.697, S_plat=0.722",
Suzhou,94,8.6,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.686, S_plat=0.749",
Quingdao,95,8.5,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.709, S_plat=0.698",
Xiamen,96,8.7,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.729, S_plat=0.748",
Zhangjiaje,97,8.4,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.586, S_plat=0.798",
Guiyang,98,8.5,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.72, S_plat=0.673",
